class,f1_score,precision,recall,support
0,0.31,0.44,0.23,1258.0
1,0.34,0.25,0.51,963.0
2,0.34,0.33,0.35,789.0
3,0.11,0.23,0.07,360.0
4,0.09,0.15,0.07,232.0
5,0.0,0.0,0.0,75.0
