class,f1_score,precision,recall,support
0,0.66,0.63,0.69,1334.0
1,0.51,0.47,0.56,915.0
2,0.45,0.57,0.37,779.0
3,0.51,0.49,0.53,353.0
4,0.42,0.43,0.41,237.0
5,0.12,0.19,0.08,59.0
