class,f1_score,precision,recall,support
0,0.24,0.55,0.15,1258.0
1,0.0,1.0,0.0,963.0
2,0.02,0.35,0.01,789.0
3,0.29,0.22,0.42,360.0
4,0.13,0.08,0.32,232.0
5,0.06,0.03,0.69,75.0
