class,f1_score,precision,recall,support
0,0.72,0.73,0.71,1333.0
1,0.5,0.42,0.6,907.0
2,0.47,0.45,0.5,798.0
3,0.34,0.74,0.22,334.0
4,0.16,0.38,0.1,243.0
5,0.06,0.07,0.05,62.0
