class,f1_score,precision,recall,support
0,0.32,0.74,0.2,1318.0
1,0.23,0.44,0.15,955.0
2,0.21,0.41,0.14,780.0
3,0.28,0.21,0.43,341.0
4,0.14,0.09,0.3,234.0
5,0.06,0.03,0.76,49.0
