class,f1_score,precision,recall,support
0,0.56,0.76,0.45,1321.0
1,0.31,0.63,0.21,948.0
2,0.46,0.32,0.85,788.0
3,0.45,0.43,0.47,329.0
4,0.26,0.41,0.19,238.0
5,0.15,0.42,0.09,53.0
