class,f1_score,precision,recall,support
0,0.55,0.65,0.47,1355.0
1,0.48,0.39,0.63,941.0
2,0.41,0.51,0.35,739.0
3,0.43,0.41,0.46,345.0
4,0.32,0.34,0.3,222.0
5,0.08,0.08,0.08,75.0
