class,f1_score,precision,recall,support
0,0.7,0.66,0.75,1311.0
1,0.46,0.61,0.37,956.0
2,0.54,0.5,0.59,752.0
3,0.35,0.72,0.23,344.0
4,0.35,0.25,0.58,254.0
5,0.33,0.92,0.2,60.0
