class,f1_score,precision,recall,support
0,0.68,0.56,0.86,1352.0
1,0.48,0.51,0.46,944.0
2,0.44,0.5,0.38,722.0
3,0.42,0.67,0.3,342.0
4,0.17,0.96,0.09,255.0
5,0.03,1.0,0.02,62.0
