class,f1_score,precision,recall,support
0,0.14,0.94,0.08,1338.0
1,0.0,0.0,0.0,905.0
2,0.11,0.3,0.07,760.0
3,0.13,0.14,0.12,347.0
4,0.16,0.09,0.61,259.0
5,0.07,0.03,0.72,68.0
