class,f1_score,precision,recall,support
0,0.66,0.52,0.9,1348.0
1,0.38,0.62,0.28,953.0
2,0.33,0.75,0.21,754.0
3,0.4,0.3,0.62,317.0
4,0.3,0.79,0.19,234.0
5,0.27,0.63,0.17,71.0
