class,f1_score,precision,recall,support
0,0.63,0.48,0.92,1321.0
1,0.44,0.54,0.37,948.0
2,0.41,0.61,0.31,788.0
3,0.35,0.82,0.22,329.0
4,0.01,1.0,0.0,238.0
5,0.0,0.0,0.0,53.0
