class,f1_score,precision,recall,support
0,0.61,0.6,0.62,1370.0
1,0.46,0.4,0.55,907.0
2,0.45,0.56,0.37,745.0
3,0.43,0.42,0.44,334.0
4,0.33,0.44,0.26,237.0
5,0.09,0.15,0.06,84.0
