class,f1_score,precision,recall,support
0,0.62,0.63,0.61,1311.0
1,0.45,0.44,0.46,951.0
2,0.43,0.43,0.42,749.0
3,0.5,0.45,0.56,340.0
4,0.4,0.42,0.38,260.0
5,0.25,0.33,0.2,66.0
