class,f1_score,precision,recall,support
0,0.42,0.73,0.29,1298.0
1,0.27,0.44,0.2,963.0
2,0.25,0.42,0.18,762.0
3,0.36,0.29,0.46,353.0
4,0.18,0.11,0.52,239.0
5,0.06,0.03,0.37,62.0
