class,f1_score,precision,recall,support
0,0.4,0.56,0.31,1369.0
1,0.0,0.5,0.0,918.0
2,0.24,0.54,0.15,738.0
3,0.24,0.16,0.55,355.0
4,0.2,0.12,0.5,240.0
5,0.07,0.04,0.33,57.0
