class,f1_score,precision,recall,support
0,0.51,0.57,0.47,1326.0
1,0.02,0.27,0.01,966.0
2,0.37,0.41,0.34,751.0
3,0.31,0.25,0.4,336.0
4,0.23,0.15,0.6,242.0
5,0.09,0.05,0.38,56.0
