class,f1_score,precision,recall,support
0,0.65,0.53,0.85,1291.0
1,0.49,0.52,0.46,959.0
2,0.46,0.53,0.41,743.0
3,0.43,0.67,0.32,352.0
4,0.12,0.84,0.06,258.0
5,0.0,0.0,0.0,74.0
