class,f1_score,precision,recall,support
0,0.6,0.62,0.58,1354.0
1,0.48,0.42,0.56,954.0
2,0.43,0.49,0.37,744.0
3,0.47,0.42,0.53,324.0
4,0.34,0.46,0.28,247.0
5,0.12,0.17,0.09,54.0
