class,f1_score,precision,recall,support
0,0.34,0.34,0.33,1300.0
1,0.01,0.8,0.0,956.0
2,0.12,0.39,0.07,745.0
3,0.17,0.1,0.61,355.0
4,0.02,0.12,0.01,257.0
5,0.0,0.0,0.0,64.0
