class,f1_score,precision,recall,support
0,0.6,0.43,0.99,1363.0
1,0.33,0.6,0.23,889.0
2,0.29,0.71,0.18,755.0
3,0.08,1.0,0.04,347.0
4,0.0,0.0,0.0,255.0
5,0.0,0.0,0.0,68.0
