class,f1_score,precision,recall,support
0,0.58,0.6,0.57,1343.0
1,0.46,0.39,0.56,917.0
2,0.42,0.54,0.35,776.0
3,0.41,0.36,0.47,337.0
4,0.29,0.46,0.22,241.0
5,0.09,0.13,0.06,63.0
