class,f1_score,precision,recall,support
0,0.57,0.73,0.47,1300.0
1,0.49,0.34,0.87,916.0
2,0.35,0.59,0.25,785.0
3,0.28,0.92,0.16,359.0
4,0.37,0.62,0.26,253.0
5,0.12,1.0,0.06,64.0
