class,f1_score,precision,recall,support
0,0.65,0.7,0.6,1305.0
1,0.52,0.46,0.59,936.0
2,0.51,0.53,0.49,781.0
3,0.51,0.51,0.52,341.0
4,0.42,0.4,0.43,240.0
5,0.08,0.17,0.05,74.0
