class,f1_score,precision,recall,support
0,0.74,0.79,0.7,1339.0
1,0.55,0.45,0.7,954.0
2,0.46,0.42,0.51,753.0
3,0.28,0.85,0.16,335.0
4,0.07,0.8,0.04,227.0
5,0.03,1.0,0.01,69.0
