class,f1_score,precision,recall,support
0,0.6,0.43,0.98,1306.0
1,0.37,0.59,0.27,935.0
2,0.32,0.66,0.21,751.0
3,0.12,1.0,0.06,371.0
4,0.0,0.0,0.0,250.0
5,0.0,0.0,0.0,64.0
