class,f1_score,precision,recall,support
0,0.72,0.84,0.63,1329.0
1,0.56,0.47,0.69,953.0
2,0.51,0.44,0.59,743.0
3,0.51,0.58,0.46,340.0
4,0.03,0.8,0.02,242.0
5,0.06,1.0,0.03,70.0
