class,f1_score,precision,recall,support
0,0.29,0.96,0.17,1359.0
1,0.44,0.28,0.99,945.0
2,0.11,0.9,0.06,743.0
3,0.17,0.94,0.1,324.0
4,0.27,0.65,0.17,241.0
5,0.17,1.0,0.09,65.0
