class,f1_score,precision,recall,support
0,0.6,0.65,0.56,1311.0
1,0.5,0.44,0.59,992.0
2,0.43,0.5,0.38,733.0
3,0.42,0.38,0.46,338.0
4,0.3,0.33,0.28,242.0
5,0.14,0.15,0.13,61.0
