class,f1_score,precision,recall,support
0,0.51,0.52,0.5,1291.0
1,0.17,0.36,0.11,977.0
2,0.34,0.38,0.3,757.0
3,0.27,0.19,0.45,356.0
4,0.2,0.15,0.28,244.0
5,0.1,0.06,0.27,52.0
