class,f1_score,precision,recall,support
0,0.62,0.49,0.86,1330.0
1,0.44,0.5,0.38,941.0
2,0.39,0.53,0.31,762.0
3,0.4,0.66,0.28,332.0
4,0.11,0.79,0.06,253.0
5,0.0,0.0,0.0,59.0
